alpha,Camadas,Decaimento,lr,Momentum,Acc Validação,Acc Treino
0.0001,"(50, 100)",constant,0.01,0.9,0.982456140350877,0.997802197802198
0,"(25, 25)",constant,0.01,0.9,0.982456140350877,0.997802197802198
1E-05,"(75, 100)",adaptive,0.01,1,0.982456140350877,0.995604395604396
1E-06,"(25, 75)",constant,0.01,0.9,0.982456140350877,0.995604395604396
0,"(100, 25)",constant,0.005,0.9,0.982456140350877,0.995604395604396
0,"(75, 75)",constant,0.01,0.8,0.982456140350877,0.995604395604396
0.0001,"(25, 75)",constant,0.01,0.8,0.982456140350877,0.993406593406593
0.0001,"(25, 75)",adaptive,0.01,0.7,0.982456140350877,0.993406593406593
1E-07,25,adaptive,0.01,0.9,0.982456140350877,0.993406593406593
1E-07,"(50, 100)",adaptive,0.005,0.9,0.982456140350877,0.993406593406593
