max_edge_age,n_iter_before_neuron_added,max_nodes,quantization_error,topographical_error,quantization_error_std,topographical_error_std
25,25,100,2.309837084265,0.031634446397188,0.007058624068804,0.002869935258094
25,75,100,2.31391157130529,0.044522554188635,0.010358548308554,0.006470627426589
25,50,100,2.32001773165872,0.035149384885765,0.006683055457774,0.010044773403329
25,100,100,2.32317391134615,0.03925014645577,0.00709500617761,0.000828478946909
50,50,100,2.38571622319232,0.022261277094318,0.009112879601651,0.007363681950777
50,100,100,2.39260382453572,0.024018746338606,0.009431864763882,0.002191949259973
50,75,100,2.39628667314085,0.018160515524312,0.005279561054551,0.000828478946909
50,25,100,2.40577460915384,0.023432923257176,0.002532818926965,0.008159571339885
75,25,100,2.42423323742757,0.017574692442882,0.007090614403164,0.002485436840726
75,75,100,2.42917746248876,0.018160515524312,0.011539320573489,0.000828478946909
