max_edge_age,n_iter_before_neuron_added,max_nodes,quantization_error,topographical_error,quantization_error_std,topographical_error_std
25,75,100,0.042994217614925,0,0.000587627754273,0
25,100,100,0.043303999739704,0,0.000996015092268,0
25,50,100,0.043318346731321,0,0.000841904698904,0
25,25,100,0.043456171876973,0,0.001423668915533,0
50,100,100,0.04520985694385,0,0.002427542439723,0
50,75,100,0.045846874789186,0,0.001934564854887,0
50,25,100,0.047676057522176,0,0.000314792189584,0
50,50,100,0.047981247945236,0,0.000548315248012,0
75,100,100,0.050232952202908,0,0.001165763600529,0
75,75,100,0.05109341523908,0,0.000937517961046,0
