param_alpha,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_momentum,split0_test_score,rank_test_score,split0_train_score
0.0001,100,constant,0.005,1,1,1,1
0.0001,50,constant,0.01,1,1,1,1
0.0001,"(100, 75)",constant,0.005,1,1,1,1
0.0001,"(100, 75)",adaptive,0.005,1,1,1,1
0.0001,"(100, 50)",adaptive,0.005,1,1,1,1
0.0001,"(75, 100)",constant,0.01,1,1,1,1
0.0001,"(75, 75)",constant,0.005,1,1,1,1
0.0001,"(75, 50)",adaptive,0.005,1,1,1,1
0.0001,"(75, 50)",adaptive,0.01,1,1,1,1
0.0001,"(50, 75)",constant,0.01,1,1,1,1
1E-05,100,adaptive,0.01,1,1,1,1
1E-05,75,constant,0.005,1,1,1,1
1E-05,75,constant,0.01,1,1,1,1
1E-05,"(100, 50)",adaptive,0.005,1,1,1,1
1E-05,"(75, 75)",constant,0.005,1,1,1,1
1E-05,"(50, 75)",constant,0.005,1,1,1,1
1E-05,"(50, 25)",adaptive,0.005,1,1,1,1
1E-05,"(25, 25)",constant,0.01,1,1,1,1
1E-06,100,constant,0.005,1,1,1,1
1E-06,100,constant,0.01,1,1,1,1
1E-06,100,adaptive,0.005,1,1,1,1
1E-06,75,constant,0.01,1,1,1,1
1E-06,25,adaptive,0.01,1,1,1,1
1E-06,"(100, 75)",constant,0.005,1,1,1,1
1E-06,"(100, 25)",constant,0.01,1,1,1,1
1E-06,"(75, 75)",adaptive,0.005,1,1,1,1
1E-06,"(75, 25)",adaptive,0.005,1,1,1,1
1E-06,"(50, 100)",constant,0.005,1,1,1,1
1E-06,"(50, 75)",constant,0.005,1,1,1,1
1E-06,"(25, 25)",adaptive,0.005,1,1,1,1
1E-07,100,constant,0.01,1,1,1,1
1E-07,100,adaptive,0.01,1,1,1,1
1E-07,75,constant,0.01,1,1,1,1
1E-07,50,constant,0.005,1,1,1,1
1E-07,50,constant,0.01,1,1,1,1
1E-07,50,adaptive,0.01,1,1,1,1
1E-07,25,adaptive,0.01,1,1,1,1
1E-07,"(100, 25)",adaptive,0.01,1,1,1,1
1E-07,"(75, 75)",constant,0.005,1,1,1,1
1E-07,"(50, 100)",constant,0.01,1,1,1,1
1E-07,"(50, 100)",adaptive,0.005,1,1,1,1
1E-07,"(25, 100)",adaptive,0.005,1,1,1,1
0,100,adaptive,0.005,1,1,1,1
0,100,adaptive,0.01,1,1,1,1
0,75,constant,0.01,1,1,1,1
0,75,adaptive,0.005,1,1,1,1
0,50,constant,0.005,1,1,1,1
0,"(50, 100)",constant,0.01,1,1,1,1
0,"(50, 75)",constant,0.01,1,1,1,1
0,"(25, 25)",constant,0.01,1,1,1,1
0.0001,"(75, 25)",adaptive,0.01,1,1,1,0.99
1E-05,25,adaptive,0.005,1,1,1,0.99
1E-07,"(50, 25)",adaptive,0.01,1,1,1,0.99
1E-07,"(100, 25)",constant,0.005,1,1,1,0.98
0,"(100, 50)",adaptive,0.01,1,1,1,0.98
0.0001,100,constant,0.01,1,0.96,56,1
0.0001,100,adaptive,0.005,1,0.96,56,1
0.0001,100,adaptive,0.01,1,0.96,56,1
0.0001,75,constant,0.005,1,0.96,56,1
0.0001,75,constant,0.01,1,0.96,56,1
0.0001,75,adaptive,0.01,1,0.96,56,1
