alpha,Tamanho das Camadas Ocultas,Decaimento,Taxa de Aprendizado,Momentum,Acurácia Validação,Acurácia Treino
0.0001,"(100, 100)",constant,0.001,1,1,0.975
0.0001,"(100, 100)",constant,0.01,0.9,1,0.975
0.0001,"(100, 100)",adaptive,0.01,0.9,1,0.975
0.0001,"(100, 75)",constant,0.005,0.9,1,0.95
0.0001,"(100, 75)",constant,0.01,0.9,1,0.966666666666667
0.0001,"(100, 50)",constant,0.001,1,1,0.958333333333333
0.0001,"(100, 50)",constant,0.01,0.9,1,0.966666666666667
0.0001,"(100, 50)",adaptive,0.01,0.9,1,0.966666666666667
0.0001,"(100, 25)",constant,0.01,0.9,1,0.966666666666667
0.0001,"(100, 25)",adaptive,0.005,1,1,0.95
0.0001,"(100, 25)",adaptive,0.01,0.9,1,0.966666666666667
0.0001,"(75, 100)",adaptive,0.001,1,1,0.983333333333333
0.0001,"(75, 100)",adaptive,0.01,0.8,1,0.95
0.0001,"(75, 75)",constant,0.01,0.8,1,0.95
0.0001,"(75, 75)",adaptive,0.001,1,1,0.95
0.0001,"(75, 50)",constant,0.01,0.9,1,0.975
0.0001,"(75, 25)",constant,0.001,1,1,0.975
0.0001,"(50, 100)",adaptive,0.005,0.9,1,0.958333333333333
0.0001,"(50, 75)",constant,0.005,0.9,1,0.95
0.0001,"(50, 75)",constant,0.01,0.9,1,0.966666666666667
0.0001,"(50, 75)",adaptive,0.01,0.1,1,0.95
0.0001,"(50, 50)",constant,0.01,0.9,1,0.975
0.0001,"(50, 50)",adaptive,0.01,1,1,0.958333333333333
0.0001,"(50, 25)",constant,0.01,0.9,1,0.966666666666667
0.0001,"(50, 25)",adaptive,0.001,1,1,0.958333333333333
0.0001,"(50, 25)",adaptive,0.01,0.9,1,0.966666666666667
0.0001,"(25, 100)",constant,0.0005,0.9,1,0.941666666666667
0.0001,"(25, 100)",constant,0.001,1,1,0.958333333333333
0.0001,"(25, 100)",constant,0.005,0.9,1,0.958333333333333
0.0001,"(25, 100)",adaptive,0.005,0.9,1,0.95
0.0001,"(25, 100)",adaptive,0.01,0.6,1,0.95
0.0001,"(25, 100)",adaptive,0.01,0.8,1,0.95
0.0001,"(25, 100)",adaptive,0.01,0.9,1,0.958333333333333
0.0001,"(25, 75)",constant,0.01,0.9,1,0.966666666666667
0.0001,"(25, 75)",adaptive,0.005,0.8,1,0.95
0.0001,"(25, 75)",adaptive,0.01,0.8,1,0.95
0.0001,"(25, 75)",adaptive,0.01,0.9,1,0.966666666666667
0.0001,"(25, 50)",adaptive,0.005,1,1,0.941666666666667
0.0001,"(25, 50)",adaptive,0.01,0.9,1,0.975
0.0001,"(25, 25)",constant,0.001,1,1,0.983333333333333
0.0001,"(25, 25)",constant,0.005,1,1,0.958333333333333
0.0001,"(25, 25)",constant,0.01,0.7,1,0.941666666666667
0.0001,"(25, 25)",adaptive,0.005,0.9,1,0.95
0.0001,"(25, 25)",adaptive,0.01,0.9,1,0.966666666666667
1E-05,100,adaptive,0.01,1,1,0.941666666666667
1E-05,50,adaptive,0.01,0.9,1,0.958333333333333
1E-05,50,adaptive,0.01,1,1,0.95
1E-05,"(100, 100)",adaptive,0.001,1,1,0.983333333333333
1E-05,"(100, 100)",adaptive,0.01,0.9,1,0.966666666666667
1E-05,"(100, 75)",constant,0.01,0.8,1,0.95
1E-05,"(100, 75)",constant,0.01,0.9,1,0.966666666666667
1E-05,"(100, 75)",adaptive,0.01,0.9,1,0.966666666666667
1E-05,"(100, 50)",constant,0.01,0.9,1,0.966666666666667
1E-05,"(100, 50)",adaptive,0.005,0.9,1,0.95
1E-05,"(100, 50)",adaptive,0.01,0.8,1,0.95
1E-05,"(100, 25)",constant,0.01,0.9,1,0.975
1E-05,"(100, 25)",adaptive,0.005,0.9,1,0.95
1E-05,"(75, 100)",constant,0.001,1,1,0.966666666666667
1E-05,"(75, 100)",constant,0.01,0.9,1,0.966666666666667
1E-05,"(75, 100)",adaptive,0.01,0.9,1,0.975
1E-05,"(75, 75)",constant,0.01,0.9,1,0.966666666666667
1E-05,"(75, 75)",adaptive,0.01,0.9,1,0.966666666666667
1E-05,"(75, 50)",constant,0.01,0.9,1,0.966666666666667
1E-05,"(75, 50)",adaptive,0.01,0.9,1,0.966666666666667
1E-05,"(75, 25)",constant,0.01,0.9,1,0.966666666666667
1E-05,"(75, 25)",adaptive,0.001,1,1,0.966666666666667
1E-05,"(75, 25)",adaptive,0.01,0.9,1,0.966666666666667
