grid_size,lr,sigma,tau,tau_2,quantization_error,topographical_error,quantization_error_std,topographical_error_std
"[10, 10]",0.005,1,10,10,2.9797721841607614,0.14586994727592267,0.005533217733193041,0.0035149384885764523
"[10, 10]",0.005,1,10,20,2.789395179198814,0.23198594024604569,0.024467280176649675,0.036906854130052735
"[10, 10]",0.005,1,10,40,2.7389603122402972,0.29789103690685415,0.029756868926242852,0.011423550087873463
"[10, 10]",0.005,1,20,10,2.936064292262274,0.11687170474516696,0.001150410114225675,0.006151142355008785
"[10, 10]",0.005,1,20,20,2.7417500562031347,0.1687170474516696,0.01918173791439548,0.0035149384885764523
"[10, 10]",0.005,1,20,40,2.621006241294283,0.2557117750439367,0.024098035430847098,0.0360281195079086
"[10, 10]",0.005,1,40,10,3.003890906077653,0.10896309314586994,0.012854646005349801,0.022847100175746905
"[10, 10]",0.005,1,40,20,2.7139802184428965,0.10984182776801407,0.015945996359103987,0.004393673110720565
"[10, 10]",0.005,1,40,40,2.6059750710581944,0.1669595782073814,0.02930440846161808,0.024604569420035152
"[10, 10]",0.005,5,10,10,2.99826227925947,0.012302284710017576,0.0020382424683222933,0.0017574692442882253
"[10, 10]",0.005,5,10,20,2.71476239663586,0.03954305799648506,0.005485249093027722,0.011423550087873461
"[10, 10]",0.005,5,10,40,2.4905837081056097,0.08260105448154657,0.003747959084985375,0.0035149384885764523
"[10, 10]",0.005,5,20,10,3.1077170555000766,0.0017574692442882249,0.020712871417503775,0.0017574692442882249
"[10, 10]",0.005,5,20,20,2.8304857051432304,0.01054481546572935,0.0013352455591935097,0.0035149384885764506
"[10, 10]",0.005,5,20,40,2.5781685236190106,0.03339191564147627,5.2549896652376304e-05,0.007029876977152898
"[10, 10]",0.005,5,40,10,3.266123999353247,0.0008787346221441124,0.0005086320975911107,0.0008787346221441124
"[10, 10]",0.005,5,40,20,2.97493146988026,0.0026362038664323375,0.0044958977162761204,0.0026362038664323375
"[10, 10]",0.005,5,40,40,2.735568770869083,0.014059753954305799,0.003238586099286289,0.0017574692442882262
"[10, 10]",0.005,10,10,10,3.1897202998191583,0.01054481546572935,0.006775118980115069,0.0017574692442882227
"[10, 10]",0.005,10,10,20,2.811204630038474,0.03339191564147628,0.0029870475983626577,0.0
"[10, 10]",0.005,10,10,40,2.5369855014696574,0.09666080843585237,0.0039697203278832305,0.01581722319859403
"[10, 10]",0.005,10,20,10,3.4139053655304545,0.0008787346221441124,0.002419897726433806,0.0008787346221441124
"[10, 10]",0.005,10,20,20,2.9924083017007,0.011423550087873463,0.005368994685894579,0.004393673110720563
"[10, 10]",0.005,10,20,40,2.676554767076464,0.029876977152899824,0.0030671022219947996,0.0
"[10, 10]",0.005,10,40,10,3.730699426785047,0.0,0.0021247120959233534,0.0
"[10, 10]",0.005,10,40,20,3.2727213082686744,0.0017574692442882249,0.004361590546485994,0.0
"[10, 10]",0.005,10,40,40,2.9203833708105,0.004393673110720564,0.0010093566973365942,0.004393673110720564
"[10, 10]",0.05,1,10,10,2.2569328326973634,0.2565905096660809,0.0367371846576805,0.0035149384885764523
"[10, 10]",0.05,1,10,20,2.157362719211737,0.312829525483304,0.004264088108841602,0.008787346221441145
"[10, 10]",0.05,1,10,40,2.059060665937797,0.35500878734622143,0.006106323068320041,0.0035149384885764523
"[10, 10]",0.05,1,20,10,2.31290927081491,0.17223198594024602,0.02122114036059175,0.017574692442882248
"[10, 10]",0.05,1,20,20,2.1606155960995035,0.3022847100175747,0.0012192030521562813,0.007029876977152905
"[10, 10]",0.05,1,20,40,2.0561196555128545,0.3471001757469244,0.0009541342042940215,0.016695957820738128
"[10, 10]",0.05,1,40,10,2.3993795956829516,0.10281195079086117,0.01956391446418082,0.009666080843585237
"[10, 10]",0.05,1,40,20,2.178709594148646,0.19947275922671354,0.0037152785736611627,0.0008787346221440923
"[10, 10]",0.05,1,40,40,2.059593093613757,0.3339191564147628,0.00048362653548261747,0.010544815465729357
"[10, 10]",0.05,5,10,10,2.4823137338011456,0.04745166959578208,0.007551842842362433,0.012302284710017573
"[10, 10]",0.05,5,10,20,2.1755130622171825,0.20386643233743407,0.010152091991723289,0.0035149384885764384
"[10, 10]",0.05,5,10,40,2.071578525732641,0.27855887521968364,0.0018388604187948854,0.0061511423550087985
"[10, 10]",0.05,5,20,10,2.725243557492094,0.009666080843585237,0.0012294225973059625,0.004393673110720563
"[10, 10]",0.05,5,20,20,2.3575145098537513,0.07644991212653779,0.00852713137179717,0.009666080843585237
"[10, 10]",0.05,5,20,40,2.1200091698258077,0.22934973637961337,0.0006908896577146884,0.02724077328646747
"[10, 10]",0.05,5,40,10,2.9706954363679063,0.005272407732864675,0.00345707335387746,0.0017574692442882249
"[10, 10]",0.05,5,40,20,2.661976175261019,0.013181019332161686,0.003827388333305537,0.006151142355008787
"[10, 10]",0.05,5,40,40,2.391133725890313,0.05272407732864675,0.002190632187837327,0.0017574692442882262
"[10, 10]",0.05,10,10,10,2.6226194240277527,0.02372583479789104,0.0017870954471732592,0.006151142355008786
"[10, 10]",0.05,10,10,20,2.241794966613595,0.1625659050966608,0.006879493318876273,0.020210896309314594
"[10, 10]",0.05,10,10,40,2.083486698635282,0.28558875219683655,0.0025729757012551424,0.009666080843585223
