grid_size,lr,sigma,tau,tau_2,quantization_error,topographical_error,quantization_error_std,topographical_error_std
"[10, 10]",0.5,1,10,40,1.9037699783595,0.687170474516696,0.001606420343987,0.003514938488576
"[10, 10]",0.5,1,20,40,1.92057936086849,0.666959578207381,0.001008610316012,0.011423550087874
"[10, 10]",0.5,1,10,20,1.92762651251357,0.586994727592267,0.004809320632233,0.017574692442882
"[10, 10]",0.5,5,10,40,1.93122350905227,0.566783831282952,5.01418964150568E-05,0.021968365553603
"[10, 10]",0.5,10,10,40,1.93148725476298,0.51493848857645,0.006904045080093,0.066783831282953
"[10, 10]",0.5,1,40,40,1.94460205133864,0.484182776801406,0.004299043386324,0.021968365553603
"[10, 10]",0.5,1,20,20,1.95051513363046,0.45079086115993,0.008677543139921,0.050087873462215
"[10, 10]",0.5,1,10,10,1.97094086792238,0.391915641476274,0.002619763113401,0.007029876977153
"[10, 10]",0.5,5,10,20,1.97395441995944,0.387521968365554,0.001103471077928,0.03427065026362
"[10, 10]",0.5,5,20,40,1.9824518112259,0.409490333919157,0.00149511412059,0.019332161687171
