grid_size,lr,sigma,tau,tau_2,quantization_error,topographical_error,quantization_error_std,topographical_error_std
"[10, 10]",0.005,1,10,10,0.7226267838568474,0.40222222222222226,0.014315997146839359,0.06069555681665629
"[10, 10]",0.005,1,10,20,0.6475598675319879,0.5577777777777778,0.0025762806020019294,0.11318072513997193
"[10, 10]",0.005,1,10,40,0.6024507942641013,0.5133333333333333,0.01189339721702356,0.03810317377662721
"[10, 10]",0.005,1,20,10,0.7048213814954071,0.3977777777777778,0.009168389465459939,0.06805952369383803
"[10, 10]",0.005,1,20,20,0.6357883374056962,0.3755555555555556,0.016966215022914673,0.04939135726865083
"[10, 10]",0.005,1,20,40,0.517164894195408,0.3422222222222222,0.020113130066762394,0.025724082006200504
"[10, 10]",0.005,1,40,10,0.6931337113471465,0.3755555555555556,0.022648049337854588,0.03189488909868293
"[10, 10]",0.005,1,40,20,0.583093564104836,0.3311111111111111,0.033906490883701026,0.02060804110110155
"[10, 10]",0.005,1,40,40,0.4609202880988785,0.4177777777777778,0.006017261107967847,0.027397395568751
"[10, 10]",0.005,5,10,10,0.7325241820830394,0.10444444444444445,0.011943900799067809,0.011331154474650629
"[10, 10]",0.005,5,10,20,0.5510906797210547,0.10888888888888888,0.007759781279044867,0.021998877636914813
"[10, 10]",0.005,5,10,40,0.43913834056839346,0.11777777777777777,0.00777744560735165,0.025141574442188352
"[10, 10]",0.005,5,20,10,0.789778541924635,0.03333333333333333,0.028134522530266267,0.014401645996461912
"[10, 10]",0.005,5,20,20,0.5687561352877631,0.031111111111111114,0.0032707764903181064,0.021998877636914813
"[10, 10]",0.005,5,20,40,0.4487835742044155,0.02888888888888889,0.004985595919197638,0.011331154474650633
"[10, 10]",0.005,5,40,10,0.8024713525215015,0.03333333333333333,0.008561541992436873,0.009428090415820633
"[10, 10]",0.005,5,40,20,0.620473342997314,0.0044444444444444444,0.009831210404194792,0.003142696805273545
"[10, 10]",0.005,5,40,40,0.4907924778288502,0.006666666666666667,0.004560089026022929,0.005443310539518174
"[10, 10]",0.005,10,10,10,0.8408379625937652,0.02888888888888889,0.014769362656996726,0.027932900199947854
"[10, 10]",0.005,10,10,20,0.6014106370330327,0.011111111111111112,0.001389489531888075,0.011331154474650634
"[10, 10]",0.005,10,10,40,0.4635782812333557,0.013333333333333334,0.00047836290534230744,0.0
"[10, 10]",0.005,10,20,10,0.9454604360941303,0.006666666666666667,0.0025304579879349767,0.005443310539518174
"[10, 10]",0.005,10,20,20,0.6695090444214746,0.0044444444444444444,0.00361954692162937,0.003142696805273545
"[10, 10]",0.005,10,20,40,0.49933815082081967,0.011111111111111112,0.002769866847333184,0.006285393610547089
"[10, 10]",0.005,10,40,10,1.1409924079023153,0.0,0.03234020274956956,0.0
