grid_size,lr,sigma,tau,tau_2,quantization_error,topographical_error,quantization_error_std,topographical_error_std
"[10, 10]",0.005,1,10,10,1.4291581288728652,0.29600000000000004,0.02888949044256387,0.01959591794226542
"[10, 10]",0.005,1,10,20,1.1666448190916554,0.45333333333333337,0.02739797096344223,0.08296719565922157
"[10, 10]",0.005,1,10,40,0.9627530136310671,0.4426666666666666,0.03976791381828084,0.06344201201797504
"[10, 10]",0.005,1,20,10,1.4608662886413484,0.38133333333333336,0.03965151699560422,0.06069230227595224
"[10, 10]",0.005,1,20,20,1.099402061228509,0.43999999999999995,0.01808567936614195,0.07065408693062279
"[10, 10]",0.005,1,20,40,0.8785436225258619,0.3973333333333333,0.013212343655909509,0.12888582371834212
"[10, 10]",0.005,1,40,10,1.4523081380547012,0.216,0.015708893578102463,0.08158431221748455
"[10, 10]",0.005,1,40,20,1.1210725844526206,0.248,0.015322809175747838,0.09754315284358338
"[10, 10]",0.005,1,40,40,0.8193044592712869,0.24266666666666667,0.024930893448728883,0.024729649321321885
"[10, 10]",0.005,5,10,10,1.4382332919472998,0.037333333333333336,0.02709483418687571,0.007542472332656507
"[10, 10]",0.005,5,10,20,1.0579415561090946,0.04533333333333334,0.009810849686379238,0.024729649321321878
"[10, 10]",0.005,5,10,40,0.7531985762396799,0.024000000000000004,0.005180960930576226,0.019595917942265426
"[10, 10]",0.005,5,20,10,1.5291246175783375,0.064,0.04173049940437686,0.02262741699796952
"[10, 10]",0.005,5,20,20,1.1114499470767,0.013333333333333334,0.006144715272241683,0.013597385369580758
"[10, 10]",0.005,5,20,40,0.8011289589795725,0.005333333333333333,0.0104338670673912,0.007542472332656507
"[10, 10]",0.005,5,40,10,1.6169927540721893,0.016,0.010871877910686055,0.006531972647421808
"[10, 10]",0.005,5,40,20,1.2135581839826337,0.016,0.016616331435388796,0.0
"[10, 10]",0.005,5,40,40,0.872440870006506,0.0,0.004892852370982778,0.0
"[10, 10]",0.005,10,10,10,1.6523188435238148,0.0026666666666666666,0.003299251761166851,0.0037712361663282535
"[10, 10]",0.005,10,10,20,1.183719374707611,0.0026666666666666666,0.014801331717434543,0.0037712361663282535
